did,n_samples,n_features,imbalance_ratio,avg_corr,class_sep,best_algo
44392,2000,20,1.0,0.3844044953752633,796786.94,LogisticRegression
44386,2000,26,1.0,0.0969338348453705,25.777514,DecisionTree
44488,2000,5,0.0570824524312896,0.2432195059339882,111.67778,DecisionTree
44387,2000,16,1.0,0.160584581466131,9716.072,DecisionTree
44388,2000,16,1.0,0.1550381783853011,14205.434,DecisionTree
44489,2000,5,0.0570824524312896,0.2451267709036925,82.54489,DecisionTree
44389,2000,16,1.0,0.1585269379914374,12638.494,DecisionTree
44494,2000,21,0.9801980198019802,0.2788528273351742,0.065070756,LogisticRegression
44390,2000,16,1.0,0.1680551356583254,10586.008,DecisionTree
44491,2000,5,0.0570824524312896,0.2346808407421056,87.55868,DecisionTree
44391,2000,16,1.0,0.1553925676631417,9011.215,DecisionTree
44497,2000,21,0.9801980198019802,0.2593601444489367,0.08358627,SVC
44492,2000,5,0.0570824524312896,0.2359899367030612,102.49557,DecisionTree
44496,2000,21,0.9801980198019802,0.2563451769046648,0.061713018,LogisticRegression
44495,2000,21,0.9801980198019802,0.2669372283149953,0.09305048,LogisticRegression
962,2000,6,0.1111111111111111,0.572757335797526,4760.7217,LogisticRegression
44493,2000,21,0.9801980198019802,0.278609818186254,0.08632149,LogisticRegression
44570,2000,48,0.3297872340425531,,169.90083,LogisticRegression
44530,2000,7,0.8034265103697025,0.0,142.92331,LogisticRegression
44531,2000,7,0.8034265103697025,0.0,266.05527,LogisticRegression
44631,2000,21,0.1827321111768184,0.7213235615095733,13285.129,SVC
44630,2000,21,0.1827321111768184,0.7202411028758825,12427.453,SVC
44629,2000,21,0.1827321111768184,0.7197665792853045,12910.547,SVC
44628,2000,21,0.1827321111768184,0.7205240392174902,12328.324,LogisticRegression
44374,2000,7,1.0,0.2774814662568404,0.16173543,DecisionTree
44397,2000,10,1.0,0.2786569990300422,48.40747,SVC
44376,2000,7,1.0,0.2895098918683134,0.16577414,DecisionTree
44377,2000,10,1.0,0.1896063079502487,0.5029014,DecisionTree
44378,2000,10,1.0,0.1884202402690229,0.5071185,DecisionTree
44379,2000,10,1.0,0.1881653595486252,0.53880954,DecisionTree
44380,2000,10,1.0,0.1927575589096354,0.58191234,DecisionTree
995,2000,47,0.1111111111111111,0.2577673485988115,522.649,SVC
44381,2000,10,1.0,0.1946647713301438,0.50498354,DecisionTree
44382,2000,26,1.0,0.0988345767512685,25.63125,DecisionTree
44383,2000,26,1.0,0.0988566815423161,24.951582,DecisionTree
44384,2000,26,1.0,0.0986797298176445,23.855556,DecisionTree
44572,2000,48,0.3297872340425531,,176.62744,LogisticRegression
44571,2000,48,0.3297872340425531,,175.28853,LogisticRegression
44461,2000,17,1.0,0.0,191.62177,LogisticRegression
44569,2000,48,0.3297872340425531,,174.22588,LogisticRegression
44568,2000,48,0.3297872340425531,,168.60855,LogisticRegression
44532,2000,7,0.8034265103697025,0.0,172.57568,LogisticRegression
44385,2000,26,1.0,0.0965557492507993,24.825819,DecisionTree
44462,2000,17,1.0,0.0,221.44836,LogisticRegression
44453,2000,32,1.0,0.0,10135.248,DecisionTree
44460,2000,17,1.0,0.0,176.99748,LogisticRegression
44409,2000,5,1.0,0.1111609692377611,1.2477424,SVC
44424,2000,20,1.0,0.1246029469102727,321.634,LogisticRegression
44423,2000,20,1.0,0.1285884961865584,175.55879,LogisticRegression
44422,2000,24,1.0,0.0880505946218961,0.28530878,LogisticRegression
44421,2000,24,1.0,0.0880505946218961,0.28530878,LogisticRegression
44420,2000,24,1.0,0.0830975276409635,0.2741461,LogisticRegression
44419,2000,24,1.0,0.0832364285766162,0.33315995,LogisticRegression
44418,2000,24,1.0,0.0842698612687748,0.34455568,LogisticRegression
44417,2000,24,1.0,0.083978288510057,0.27962753,LogisticRegression
44411,2000,5,1.0,0.1221018939275466,1.2990648,SVC
44410,2000,5,1.0,0.116794315437235,1.2744893,SVC
44396,2000,20,1.0,0.3869594625847498,838983.9,LogisticRegression
44426,2000,20,1.0,0.1267218227595375,216.13023,LogisticRegression
44408,2000,5,1.0,0.1135984277371015,1.2534482,SVC
44407,2000,5,1.0,0.1228656390073893,1.3022684,SVC
44406,2000,7,1.0,0.0679174976729118,615.131,LogisticRegression
44405,2000,7,1.0,0.0654488058187911,604.14276,LogisticRegression
44404,2000,7,1.0,0.0665647647136098,668.4518,LogisticRegression
44403,2000,7,1.0,0.0647330741909402,607.7139,LogisticRegression
44402,2000,7,1.0,0.0642512906896578,780.90845,LogisticRegression
44401,2000,10,1.0,0.2825782521740507,49.779957,DecisionTree
44400,2000,10,1.0,0.2849041605870228,53.52114,SVC
44399,2000,10,1.0,0.2795180762989978,47.897972,SVC
44425,2000,20,1.0,0.12551812691408,116.07045,LogisticRegression
44427,2000,20,1.0,0.1290315505124731,233.58667,LogisticRegression
44459,2000,17,1.0,0.0,158.27478,LogisticRegression
44449,2000,12,1.0,0.0,65.5834,DecisionTree
44458,2000,17,1.0,0.0,181.15205,LogisticRegression
44457,2000,32,1.0,0.0,14318.712,DecisionTree
44456,2000,32,1.0,0.0,7041.01,DecisionTree
44455,2000,32,1.0,0.0,10291.435,DecisionTree
44454,2000,32,1.0,0.0,6041.5537,DecisionTree
44643,2000,36,0.9157088122605364,0.0,0.7654379,DecisionTree
44452,2000,12,1.0,0.0,49.866047,DecisionTree
44451,2000,12,1.0,0.0,65.2366,DecisionTree
44394,2000,20,1.0,0.3839422400681998,787909.9,LogisticRegression
44450,2000,12,1.0,0.0,58.61611,DecisionTree
44395,2000,20,1.0,0.3796065298281659,786790.7,LogisticRegression
44433,2000,8,1.0,0.0,0.17181504,DecisionTree
44448,2000,12,1.0,0.0,57.867905,DecisionTree
44442,2000,23,1.0,0.0,233.58667,LogisticRegression
44441,2000,23,1.0,0.0,216.13026,LogisticRegression
44440,2000,23,1.0,0.0,116.07047,LogisticRegression
44439,2000,23,1.0,0.0,321.634,LogisticRegression
44438,2000,23,1.0,0.0,175.5588,LogisticRegression
44437,2000,8,1.0,0.0,0.27387047,DecisionTree
44436,2000,8,1.0,0.0,0.27673087,DecisionTree
44435,2000,8,1.0,0.0,0.16449426,DecisionTree
44434,2000,8,1.0,0.0,0.2885417,DecisionTree
44632,2000,21,0.1827321111768184,0.7214587274835624,13474.945,LogisticRegression
44375,2000,7,1.0,0.2774580616034523,0.1568311,DecisionTree
44710,2000,9,0.0615711252653927,0.0,297.52286,LogisticRegression
44758,2000,32,0.1402508551881414,0.0,,DecisionTree
44773,2000,8,0.1383039271485486,0.0,1203.0343,LogisticRegression
44368,2000,11,1.0,0.245084846493243,7.983821,DecisionTree
44767,2000,11,0.2026458208057727,0.0,4.3595306e+17,LogisticRegression
44766,2000,11,0.2026458208057727,0.0,9.7967586e+16,LogisticRegression
44765,2000,11,0.2026458208057727,0.0,2.1857741e+17,LogisticRegression
44764,2000,11,0.2026458208057727,0.0,4.1231686e+16,LogisticRegression
44763,2000,11,0.2026458208057727,0.0,2.1940205e+17,LogisticRegression
44762,2000,32,0.1402508551881414,0.0,,DecisionTree
44761,2000,32,0.1402508551881414,0.0,,DecisionTree
44760,2000,32,0.1402508551881414,0.0,,DecisionTree
44759,2000,32,0.1402508551881414,0.0,,DecisionTree
44727,2000,14,0.3149243918474688,0.0,,DecisionTree
44774,2000,8,0.1383039271485486,0.0,260.3858,LogisticRegression
44726,2000,14,0.3149243918474688,0.0,,DecisionTree
44725,2000,14,0.3149243918474688,0.0,,DecisionTree
44724,2000,14,0.3149243918474688,0.0,,DecisionTree
44723,2000,14,0.3149243918474688,0.0,,DecisionTree
44712,2000,9,0.0615711252653927,0.0,233.73012,LogisticRegression
44711,2000,9,0.0615711252653927,0.0,438.48004,LogisticRegression
44369,2000,11,1.0,0.2390426457406317,8.10014,DecisionTree
44709,2000,9,0.0615711252653927,0.0,296.1785,LogisticRegression
44708,2000,9,0.0615711252653927,0.0,451.52756,LogisticRegression
44697,2000,36,0.0147133434804667,0.6398591406723284,114.74888,LogisticRegression
44696,2000,36,0.0147133434804667,0.6355594015670378,145.19328,SVC
44367,2000,11,1.0,0.2419628584115793,10.080878,LogisticRegression
44775,2000,8,0.1383039271485486,0.0,42.665245,LogisticRegression
44694,2000,36,0.0147133434804667,0.6316481433599618,135.65714,SVC
44355,2000,10,1.0,0.1352113348855715,1161.3868,LogisticRegression
44345,2000,10,1.0,0.128332079088554,1158.7311,LogisticRegression
44346,2000,10,1.0,0.128332079088554,1158.7311,LogisticRegression
44347,2000,10,1.0,0.128332079088554,1158.7311,LogisticRegression
44348,2000,10,1.0,0.128332079088554,1158.7311,LogisticRegression
44349,2000,10,1.0,0.1361472239745027,939.4243,LogisticRegression
44350,2000,10,1.0,0.1352113348855715,1161.3868,LogisticRegression
44351,2000,10,1.0,0.1382752589548709,1086.638,LogisticRegression
44352,2000,10,1.0,0.131970438358103,926.3827,LogisticRegression
44353,2000,10,1.0,0.128332079088554,1158.7311,LogisticRegression
44354,2000,10,1.0,0.1361472239745027,939.4243,LogisticRegression
44356,2000,10,1.0,0.1382752589548709,1086.638,LogisticRegression
